id,timestamp,symbol,direction,strategy,entry_price,exit_price,qty,position_size_usdc,pnl_usdc,pnl_pct,duration_seconds,exit_reason,tp_pct,sl_pct,trailing_pct,confidence,regime,fear_greed,btc_change_4h,rsi_entry,atr_pct,volume_ratio,indicators_json
21,2026-03-25T15:07:19.156335,BTCUSDC,SHORT,mean_reversion,71913.0,71432.34,0.00847,609.12150103407,4.07119,0.6684,1814,TIMEOUT,0.7,-0.6,0.1,67.05230911857231,RANGE,14,1.82,78.53,0,0,"{""rsi"": 78.53, ""bb_upper"": 71891.447262, ""bb_lower"": 71267.027738, ""bb_ma"": 71579.2375, ""price"": 71905.0}"
22,2026-03-25T17:55:10.824304,SOLUSDC,SHORT,mean_reversion,92.19,92.34,6.607,609.12150103407,-0.99105,-0.1627,1801,TIMEOUT,0.7,-0.6,0.1,63.4391534391537,RANGE,14,0.32,76.72,0,0,"{""rsi"": 76.72, ""bb_upper"": 92.123283, ""bb_lower"": 91.398717, ""bb_ma"": 91.761, ""price"": 92.2}"
23,2026-03-25T17:56:43.033834,BTCUSDC,SHORT,mean_reversion,71396.52,71379.43,0.00853,609.12150103407,0.145778,0.0239,1804,TIMEOUT,0.7,-0.6,0.1,63.569043982779874,RANGE,14,0.32,76.78,0,0,"{""rsi"": 76.78, ""bb_upper"": 71268.733384, ""bb_lower"": 70688.298616, ""bb_ma"": 70978.516, ""price"": 71384.13}"
24,2026-03-25T22:42:34.246199,BTCUSDC,SHORT,mean_reversion,71118.45,71087.85,0.00856,609.12150103407,0.261936,0.043,1808,TIMEOUT,0.7,-0.6,0.1,60.60758082496915,RANGE,14,0.21,75.3,0,0,"{""rsi"": 75.3, ""bb_upper"": 71094.904493, ""bb_lower"": 70671.273507, ""bb_ma"": 70883.089, ""price"": 71103.4}"
25,2026-03-26T00:12:08.754222,BTCUSDC,SHORT,mean_reversion,71473.43,71412.51,0.00852,609.12150103407,0.519038,0.0852,1803,TIMEOUT,0.7,-0.6,0.1,64.70193916392415,RANGE,14,0.56,77.35,0,0,"{""rsi"": 77.35, ""bb_upper"": 71256.762033, ""bb_lower"": 70878.002967, ""bb_ma"": 71067.3825, ""price"": 71480.98}"
26,2026-03-26T10:46:37.748323,ETHUSDC,SHORT,breakout,2090.87,2080.29,0.2913,609.12150103407,3.081954,0.506,904,TIMEOUT,0.7,-0.6,0.1,80,BEAR,10,-1.21,0,0.2507,0,"{""atr_pct"": 0.2507, ""vol_ratio"": 18.84, ""range_high"": 2121.29, ""range_low"": 2113.82, ""var_pct"": 1.1233}"
27,2026-03-26T10:46:38.482396,SOLUSDC,SHORT,breakout,88.15,87.97,6.908,609.12150103407,1.24344,0.2042,904,TIMEOUT,0.7,-0.6,0.1,80,BEAR,10,-1.21,0,0.2179,0,"{""atr_pct"": 0.2179, ""vol_ratio"": 6.36, ""range_high"": 88.99, ""range_low"": 88.66, ""var_pct"": 0.7989}"
28,2026-03-26T11:05:18.074860,BTCUSDC,SHORT,breakout,69406.09,69508.22,0.00878,609.12150103407,-0.896701,-0.1471,915,TIMEOUT,0.7,-0.6,0.1,60.20437300348064,BEAR,10,-2.08,0,0.2175,0,"{""atr_pct"": 0.2175, ""vol_ratio"": 1.02, ""range_high"": 70132.64, ""range_low"": 69424.37, ""var_pct"": 0.1359}"
29,2026-03-26T12:27:06.486602,ETHUSDC,SHORT,breakout,2068.74,2065.3,0.2944,609.12150103407,1.012736,0.1663,913,TIMEOUT,0.7,-0.6,0.1,66.28866313273038,BEAR,10,-1.96,0,0.226,0,"{""atr_pct"": 0.226, ""vol_ratio"": 1.63, ""range_high"": 2083.03, ""range_low"": 2073.5, ""var_pct"": 0.4059}"
30,2026-03-26T12:40:01.931321,SOLUSDC,SHORT,breakout,87.56,87.72,6.957,609.12150103407,-1.11312,-0.1827,911,TIMEOUT,0.7,-0.6,0.1,79.47892604257761,BEAR,10,-2.03,0,0.2252,0,"{""atr_pct"": 0.2252, ""vol_ratio"": 2.95, ""range_high"": 88.31, ""range_low"": 87.58, ""var_pct"": 0.3188}"
31,2026-03-26T14:37:45.890569,ETHUSDC,SHORT,mean_reversion,2077.72,2075.22,0.2932,609.12150103407,0.733,0.1203,1807,TIMEOUT,0.7,-0.6,0.1,60.61224489796098,BEAR,10,-2.64,75.31,0,0,"{""rsi"": 75.31, ""bb_upper"": 2074.600431, ""bb_lower"": 2068.068569, ""bb_ma"": 2071.3345, ""price"": 2077.81}"
